Tick,Date,Close,Vol_1M,Mkt_Cap,P2B,D2E,Prof_Marg,ESG_rank
AAPL,2010-06-30,7.738,33.661,228876.8097,4.5908,0,20.7197,
AAPL,2010-07-30,7.914,26.342,235014.063,4.6952,0,20.7197,
AAPL,2010-08-31,7.478,20.539,222087.1476,4.4369,0,20.7197,
AAPL,2010-09-30,8.729,21.408,259223.4806,4.6844,0,21.1768,
AAPL,2010-10-29,9.259,22.541,276091.0997,4.9689,0,21.1768,
AAPL,2010-11-30,9.572,20.583,285420.1132,5.1368,0,21.1768,
AAPL,2010-12-31,9.923,13.918,295886.5875,4.6812,0,22.4524,
AAPL,2011-01-31,10.438,19.548,312608.0561,4.9244,0,22.4524,
AAPL,2011-02-28,10.866,24.451,325404.6077,5.126,0,22.4524,
AAPL,2011-03-31,10.721,27.312,321072.2979,4.5152,0,24.2713,
AAPL,2011-04-29,10.771,18.962,322567.0714,4.5362,0,24.2713,
AAPL,2011-05-31,10.7,19.402,320448.132,4.5064,0,24.2713,
AAPL,2011-06-30,10.326,23.513,310412.3691,3.8648,0,25.5784,
AAPL,2011-07-29,12.012,23.33,362010.4473,4.4959,0,25.5784,
AAPL,2011-08-31,11.839,40.622,356772.3839,4.4309,0,25.5784,
AAPL,2011-09-30,11.731,26.546,353518.2949,3.9839,0,23.4277,
AAPL,2011-10-31,12.452,33.94,376152.735,4.229,0,23.4277,
AAPL,2011-11-30,11.758,28.135,355220.1185,3.9931,0,23.4277,
AAPL,2011-12-30,12.459,23.081,376410.6436,3.6112,0,23.4277,
AAPL,2012-01-31,14.043,23.771,425608.2554,4.0702,0,28.1959,
AAPL,2012-02-29,16.687,25.8,505754.7802,4.8367,0,28.1959,
AAPL,2012-03-30,18.444,22.596,559002.4306,4.7109,0,28.1959,
AAPL,2012-04-30,17.965,41.479,546057.5136,4.5885,0,29.6586,
AAPL,2012-05-31,17.773,38.767,540213.376,4.5394,0,29.6586,
AAPL,2012-06-29,17.966,26.745,546076.2148,4.2192,0,29.6586,
AAPL,2012-07-31,18.789,24.108,572530.0921,4.4125,0,25.1949,
AAPL,2012-08-31,20.553,23.121,623599.9713,4.8268,0,25.1949,
AAPL,2012-09-28,20.61,23.288,625348.2335,4.5851,0,25.1949,
AAPL,2012-10-31,18.392,27.955,560012.7713,4.0917,0,22.8633,
AAPL,2012-11-30,18.165,38.636,550568.2235,4.0411,0,22.8633,
AAPL,2012-12-31,16.517,40.904,500610.8338,3.4099,0,23.991,
AAPL,2013-01-31,14.137,50.411,427722.6802,2.9186,0,23.991,
AAPL,2013-02-28,13.779,47.206,414500.1939,2.8448,0,23.991,
AAPL,2013-03-29,13.819,25.815,415683.4069,2.6846,0,23.991,
AAPL,2013-04-30,13.822,31.786,415614.9984,2.6854,0,21.8953,
AAPL,2013-05-31,14.132,24.476,422143.3021,2.7456,0,21.8953,
AAPL,2013-06-28,12.46,17.505,372202.4827,2.5694,0,21.8953,
AAPL,2013-07-31,14.22,25.299,411122.1516,2.9323,13.7474,19.534,
AAPL,2013-08-30,15.411,27.175,442634.2789,3.1779,13.7474,19.534,
AAPL,2013-09-30,15.08,31.536,433125.9492,3.0732,13.7273,20.047,
AAPL,2013-10-31,16.534,23.325,470294.8396,3.3694,13.7273,20.047,
AAPL,2013-11-29,17.692,19.878,500317.2964,3.6054,13.7273,20.047,
