Tick,Date,Close,Vol_1M,Mkt_Cap,P2B,D2E,ESG_rank
AAPL,29/02/2016,22.483,34.91,536105.731,3.8874,49.0875,44.595
AAPL,31/03/2016,25.343,19.346,604304.102,4.2571,61.2248,48.649
AAPL,29/04/2016,21.797,27.59,513453.8012,3.6614,61.2248,48.649
AAPL,31/05/2016,23.362,28.698,546975.641,3.9242,61.2248,48
AAPL,30/06/2016,22.365,18.764,523641.8113,3.8128,67.1205,48
AAPL,29/07/2016,24.379,24.793,561529.6316,4.1562,67.1205,48.052
AAPL,31/08/2016,24.956,23.114,571713.7886,4.2545,67.1205,47.436
AAPL,30/09/2016,26.591,23.352,609163.4666,4.4255,67.8617,46.753
AAPL,31/10/2016,26.706,13.791,605430.8167,4.4447,67.8617,47.368
AAPL,30/11/2016,26.129,19.675,589327.2315,4.3487,67.8617,70.13
AAPL,30/12/2016,27.382,11.701,617588.4903,4.3479,67.8617,70.513
AAPL,31/01/2017,28.689,8.417,638035.9616,4.5555,66.1296,67.949
AAPL,28/02/2017,32.527,18.657,718723.52,5.1649,66.1296,71.739
AAPL,31/03/2017,34.111,11.614,753717.942,5.2975,66.1296,72.826
AAPL,28/04/2017,34.109,11.495,753665.4766,5.2972,73.4789,68.75
AAPL,31/05/2017,36.421,17.683,796466.1745,5.6563,73.4789,66.667
AAPL,30/06/2017,34.338,20.392,750897.2368,5.3621,73.4789,65.432
AAPL,31/07/2017,35.461,13.738,775454.4232,5.5374,81.8116,65.432
AAPL,31/08/2017,39.255,22.586,847097.392,6.1299,81.8116,67.949
AAPL,29/09/2017,36.89,15.889,796064.9394,5.643,81.8116,67.949
AAPL,31/10/2017,40.461,19.099,873130.1411,6.1893,86.2981,67.949
AAPL,30/11/2017,41.282,20.418,882331.5172,6.3148,86.2981,68.354
AAPL,29/12/2017,40.652,16.387,860882.4869,5.8939,86.2981,68.354
AAPL,31/01/2018,40.22,16.378,851725.7861,5.8313,87.3045,72.152
AAPL,28/02/2018,42.962,31.562,903783.1956,6.2289,87.3045,70.886
AAPL,30/03/2018,40.468,24.448,851317.9011,6.3067,87.3045,72.152
AAPL,30/04/2018,39.861,29.65,838531.3884,6.212,96.0293,74.074
AAPL,31/05/2018,45.247,25.115,918491.8381,7.0514,96.0293,75.61
AAPL,29/06/2018,44.821,12.387,909841.1952,7.5533,96.0293,75.309
AAPL,31/07/2018,46.075,14.857,921558.6759,7.7647,99.6964,75.309
AAPL,31/08/2018,55.309,21.656,1099436.055,9.3209,99.6964,77.778
AAPL,28/09/2018,54.85,20.065,1090307.495,9.7366,99.6964,76.829
AAPL,31/10/2018,53.178,30.96,1057077.604,9.4398,106.8467,76.829
AAPL,30/11/2018,43.542,42.643,847433.1748,7.7293,106.8467,76.19
AAPL,31/12/2018,38.461,43.169,748539.0805,6.1722,97.3179,76.19
AAPL,31/01/2019,40.582,52.186,784811.2032,6.5126,97.3179,75.61
AAPL,28/02/2019,42.4,26.972,816450.732,6.8042,97.3179,76.744
AAPL,29/03/2019,46.513,19.827,895667.436,8.0975,97.3179,77.66
AAPL,30/04/2019,49.138,18.816,946215.2376,8.5545,106.3952,77.083
AAPL,31/05/2019,43.035,30.885,805510.2002,7.4919,106.3952,77.32
AAPL,28/06/2019,48.652,25.097,910644.764,9.1424,106.3952,77.451
AAPL,31/07/2019,52.368,17.825,962766.1072,9.8408,112.4015,77.67
AAPL,30/08/2019,51.506,33.646,943333.6332,9.6788,112.4015,78.302
AAPL,30/09/2019,55.264,24.962,1012160.745,10.8546,119.4048,80.374
AAPL,31/10/2019,61.381,20.951,1105306.601,12.056,119.4048,80.556
AAPL,29/11/2019,66.142,17.457,1187462.571,12.991,119.4048,78.07
AAPL,31/12/2019,72.675,16.835,1304764.767,14.2377,130.4029,76.786
AAPL,31/01/2020,76.601,25.412,1354254.815,15.0067,130.4029,76.786
AAPL,28/02/2020,67.814,37.761,1196081.213,13.2854,130.4029,76.522
AAPL,31/03/2020,63.083,94.62,1112640.809,13.9125,151.4326,76.522
AAPL,30/04/2020,72.885,58.749,1285516.024,16.0742,151.4326,76.522
AAPL,29/05/2020,79.087,26.326,1378058.47,17.442,151.4326,77.311
AAPL,30/06/2020,90.743,28.865,1581165.408,21.5124,169.0407,77.119
AAPL,31/07/2020,105.728,40.497,1817315.475,25.0648,169.0407,77.5
AAPL,31/08/2020,128.626,43.304,2206911.245,30.493,169.0407,75.806
AAPL,30/09/2020,115.438,52.414,1980644.694,29.9938,187.144,75.969
AAPL,30/10/2020,108.51,43.816,1850816.166,28.1938,187.144,76.744
